Grade_binary,Student_1_5_Grade_performance,Schools_with_high_no_of_low_income_families,Probabaility that 2 student belong to different Race,Class Size Index,Qualification of teacher,4_10_years_expe_teacher,Media Contect Index of School,No of Expulsion per 100 student,Long Suspensions per 100 students,
1,-1.617762023,-1.392308381,-4.403652948,-0.211129368,-2.914466821,-0.539651458,0.245165611,5.81986712,1.842558484,
0,-0.165662939,-4.15E-05,0.607992677,-0.111613926,-0.281878516,1.207529128,-0.118290462,-0.980321662,-0.127669565,
0,0.847991604,0.519682654,0.82998077,-0.854596952,-1.161447759,-0.400814219,-0.109462737,-0.554826784,-0.382217473,
0,1.356567647,2.079723004,-0.563877522,0.594611263,0.266837158,-0.302109978,-0.405599248,-0.479257482,-0.72495126,
1,-0.017450811,-0.933542817,0.576119866,-0.013955659,0.942888339,0.752386843,0.510437548,-0.859675597,-0.248334893,
1,-0.920812044,-0.595016136,-0.555330939,0.150054563,-0.444216178,-0.524501637,-0.196832521,-1.167377908,-0.879871063,
0,-0.423090499,-0.476926502,1.622549182,0.387732247,-0.288599397,1.07061443,-0.61259543,0.254555985,-0.280027235,
0,0.110967036,2.117362965,0.755261409,-0.102179167,1.789593286,0.114308922,-0.149984303,0.27548535,-0.923490352,
0,-0.819061632,-0.303815461,0.996343942,-1.604329468,0.485205707,-0.791088001,-0.066460246,-0.971499097,-0.512272313,
0,1.163629262,-0.32063645,1.047659526,-0.28825925,0.129970054,-0.479832999,-0.078293096,-0.438332258,-0.132115571,
0,-0.814126426,-0.096183042,0.042520942,-0.004498462,0.632631661,-0.892184718,-0.077194314,-0.114274246,-0.242713628,
0,-0.420108737,0.240557521,1.12978839,0.421088931,-1.60354395,-0.931424539,-0.040256793,-1.208842826,-0.358187798,
0,-1.57468654,0.79625005,0.238347994,0.972328618,0.71124311,-0.486533857,-0.520424312,0.742649981,-2.203531619,
0,1.174131635,1.185638262,-1.033291092,0.837026609,0.444296174,1.56614925,-0.491362204,0.074835252,0.58292527,
0,0.553719227,1.93561128,1.869715115,1.013705369,-0.143147858,0.212489672,-0.122153987,-1.383313092,-0.179743636,
0,0.167935532,-0.222996012,-0.086446051,0.338731775,-0.48896008,1.638212449,-0.221052771,-0.651770313,-0.642877453,
0,-0.933745564,2.323584756,1.131787834,0.515719224,0.838949607,0.121279302,0.004645559,-1.321242668,-0.251913152,
0,-0.741088774,1.982114656,0.293560056,0.327228817,0.76645818,-0.697566271,-0.120946214,-0.704899772,-0.683088937,
0,-1.286900019,1.830091034,1.135570769,1.159734497,-1.33670383,-0.594183418,-0.108905521,-1.497470753,0.256148438,
0,0.908709786,1.58189728,0.5023405,0.213878618,0.489021628,0.192988063,0.811250882,1.370104265,-2.242789871,
1,-0.789190695,-0.046860182,0.285371786,1.173950134,-0.843435877,-0.591821367,-0.161647112,-0.87084456,0.322946833,
0,2.032315414,2.102572452,-0.312652561,0.812465879,-0.046847453,-0.860277524,-0.205149399,-0.994633465,-1.081475314,
0,-0.909385323,1.185150295,1.018451496,1.011236323,0.502553964,0.669837464,-0.038357975,-0.063004784,-0.740777001,
0,0.598178977,2.260617197,0.501588021,0.211009123,0.133493763,-0.630307159,0.644780019,-0.92721419,0.094256677,
0,0.163728012,1.350762662,-1.276933746,1.056516247,1.420287578,-0.699082477,-0.153538848,-0.679896341,-0.186836979,
1,0.392483747,-0.316756994,1.206402822,0.735909652,0.474966925,0.951546007,-0.075252133,-0.460223152,0.538027726,
0,-1.084347111,-0.664286554,1.977483887,-0.876815297,-0.580900211,0.560969431,0.587628055,-0.612154617,-2.161440215,
0,0.987281387,-0.264396138,-0.0988277,-1.0942711,0.284973313,-0.651748487,-0.400671639,-0.621782096,-0.848940384,
0,0.225105939,0.192274497,0.792863698,-1.412042428,2.99666614,-0.329388357,-0.141061706,1.928209797,-0.794777526,
0,1.373036371,0.779878505,-0.25719761,1.274705849,-0.21666526,-0.415409872,-0.214514333,-0.913874966,-0.153843673,
0,-0.171630371,0.467710889,0.632513663,1.296646281,-0.715189816,0.319857115,-0.319163524,0.109293593,-3.639728935,
0,0.503868565,-0.664328418,1.923431287,-0.489960495,-0.584689398,0.190709845,-0.326678869,-1.124117825,-1.905453947,
0,1.814841491,-0.515790354,-0.334975309,-0.27816118,-0.404163201,0.110766283,0.301743468,-1.335971203,-0.747597849,
1,-1.737294897,-0.498812896,-0.12348879,0.487724827,-0.370619052,0.201861564,-0.167649909,-0.325682794,-0.361269209,
1,0.799718466,-0.078822307,0.024394446,-1.107902569,-0.382815002,0.507890105,-0.17217131,-0.447945018,-0.606313769,
0,0.880042336,-0.938956893,0.303242689,-1.830834202,0.589495189,-0.369042236,-0.026664069,0.53771803,0.701762389,
0,0.930329141,0.923332345,-0.545370118,-0.614967544,-0.40561706,0.795069819,-0.20196083,-0.181738984,1.773391334,
0,1.598225542,1.113448514,0.4358416,-1.909020739,-1.16035434,1.560979416,-0.050726096,1.592132239,0.694374728,
0,-1.612860416,0.250817897,0.576549167,-0.248993109,-0.076433769,-1.753051799,-0.058472718,1.087729655,0.31302426,
0,-0.142437943,0.581660951,-0.092242012,-0.791783221,0.34162208,-1.39275539,-0.094291289,-0.979568621,0.247418891,
1,-1.892942457,-0.35968183,-0.002417195,-2.12462416,-0.759141169,0.703749658,0.009784313,-0.20960708,0.421126217,
0,0.715128259,1.511793172,-0.275156937,0.887749466,-0.661895847,-0.044295745,-0.190717783,2.185325826,-0.012532784,
0,1.430218975,-0.110473826,-1.300520681,-1.58627459,0.158928383,-1.693103948,-0.19472273,0.080552536,1.234050372,
0,1.327384756,0.279877777,0.362920092,-0.753071575,-0.018213395,-0.658435487,-0.084114705,1.039852312,0.343914083,
1,-0.817565338,0.357364288,0.315464194,-1.324110313,-1.051562523,-1.169986976,-0.267743445,-0.524524914,-1.702004224,
1,-0.006343856,-0.765914704,-0.977466106,-0.425570002,-0.227809836,1.657211839,-0.101454489,-0.981439023,-0.284153078,
1,-1.183826342,-1.775642856,-0.900000633,-1.527261645,0.18854835,0.300652111,-0.053717102,-1.379718319,-0.155092479,
0,1.780399287,-0.260449337,-1.167567469,-0.25368491,0.676198978,-0.058089832,-0.163886883,0.457140945,-0.542830143,
1,1.180302556,0.289115317,0.863864546,0.339287358,0.128692648,0.139829887,-0.163443578,-1.777554049,0.577136368,
0,-0.574255842,1.243110947,-0.375798835,-0.49175689,0.048225432,-1.374278095,3.834150005,-0.114092379,-0.289374828,
1,0.352957046,0.247873864,-1.321955273,0.506549898,-1.07015721,0.21950728,-0.12515257,-0.076743453,-0.535408094,
0,1.349587873,1.41667847,-1.239144972,0.201524209,0.779574332,0.471739971,18.13461771,0.070722491,0.684861345,
0,2.234894494,2.490275556,-0.311490029,-0.188483721,0.964284317,-0.844559311,1.244544413,0.777507853,-0.592920549,
0,1.336648859,1.813470248,0.248839395,0.45309432,-1.426389481,-3.113293232,-0.164947505,2.116800831,0.622538649,
0,0.870230673,1.148154167,0.127503444,0.229579026,-0.611449417,0.662153317,0.730117063,-0.992571016,-0.763980688,
0,0.944884864,1.659293024,-0.272379429,-0.874132029,-0.863196873,0.866039167,10.60924338,-1.546072165,-0.777530049,
0,0.834239539,1.223284811,0.565055007,0.47466094,0.373264555,-1.241228625,4.91481468,-1.800328512,-1.518043768,
0,0.200696874,0.480296781,0.115139748,-1.953678721,-0.434316017,0.138526238,-0.436502742,-0.482664301,0.059741371,
0,-0.144435609,1.227684188,0.674561465,-2.154592899,-0.695517123,0.966261374,-0.060218037,0.066423446,-0.345613759,
0,1.053705027,1.819978004,-0.390257939,-1.915922831,-0.746052239,1.355767246,-0.150234182,0.078694106,-0.184725559,
1,0.8134391,1.027038181,-0.117649964,-1.631187634,-0.734295793,0.022631344,-0.162743756,0.435802589,0.328110577,
1,-0.488040209,0.071388192,-0.210790882,-1.282422999,-0.354529573,-1.032075096,-0.062397068,-0.091512836,0.035940383,
1,0.540059768,1.197920627,-1.770632158,-1.393367426,-0.234478672,-0.588526672,-0.389977696,-0.390171867,-0.245462221,
0,-1.236866909,-0.854319298,-0.150899547,-1.234549118,-0.434462667,-0.549844827,-0.104204586,1.372822944,-1.009836192,
1,0.706059215,0.660848958,-1.94189102,-2.367789437,1.537907957,-1.762943136,-0.151137559,-1.275421148,-1.020173002,
1,-1.508468974,0.070388969,-0.548417915,-1.480624788,-1.485580922,-0.13583882,-0.042447912,0.744002872,1.673120975,
0,-0.21208581,-0.197457672,-0.848372042,-1.368951721,0.210743962,1.355340248,-0.056976825,0.97150021,-0.220050432,
0,-1.025540239,1.213560623,-0.117685719,-1.879542579,-0.922143916,1.136256903,-0.113907056,-1.395726017,-1.395535765,
0,0.631481702,0.515228092,-0.468811658,-0.063389308,-0.753253254,-1.625114869,-0.058232695,3.47807616,0.080269983,
0,-1.338841138,0.292847779,-0.742546581,-2.221790809,-0.764355216,-1.138522217,-0.122203172,-0.365682849,-0.969084136,
0,1.195220101,-0.917377033,-0.683947085,-1.513464164,-0.929055523,-1.090375496,-0.139555789,0.072240004,-0.41560311,
1,-1.285040627,0.515060224,0.455901073,0.552101707,-0.024090238,0.60946362,-0.04324864,-1.778989831,1.600268297,
0,-0.623227971,1.124079486,-1.137129948,0.568656412,-0.114136769,-0.047300701,-0.398768225,0.025628079,-0.790635196,
1,-1.047530826,0.603276452,-0.099554955,0.935666796,-0.272795388,0.180778202,-0.130406462,-0.396307687,-0.406515152,
0,1.516598977,1.511819505,0.149552115,1.101283757,-1.550798924,-0.705141035,-0.049547114,-0.225617528,0.062805142,
0,1.412088902,1.184239882,0.588705881,0.856241637,-0.448465299,0.999392918,-0.025645874,0.263857952,0.661985165,
0,0.425650576,1.133541889,-1.379055105,0.914320631,-1.225319206,-1.549349292,0.601528764,0.262184658,-0.11090962,
0,1.401910977,0.145712879,0.055256064,-0.114839101,0.131495046,-1.595282371,-0.435872958,-0.421894991,0.15531414,
0,0.340441084,0.671438973,-0.913197802,0.848981124,1.286946098,-0.680674798,-0.439907377,0.441260983,-0.099222107,
0,-0.097368735,0.841280853,1.012763422,0.920549064,-0.509542663,-0.498164786,-0.457946904,-0.491538957,-0.432474282,
0,0.006663798,2.072620738,-0.607031432,-0.226278617,-1.188803771,0.72416631,-0.495584483,-1.026756731,0.247744499,
0,-0.76668335,0.014194067,0.019513312,0.834026767,-0.639365654,-0.550520155,-0.37827868,-0.20083085,3.684648838,
1,-1.037734624,-0.954521485,0.09517949,0.15396103,-1.399823211,1.355883343,-0.486600661,-1.585270575,1.941987963,
0,-1.696779237,-0.116169656,-0.759841148,-1.142004029,0.109160358,-0.29430438,-0.418637259,-0.161259588,-0.433806541,
0,-1.821941279,1.463986455,-0.97689722,-1.49150254,-1.614685051,-1.90356108,-0.236281117,0.012546238,0.073463124,
0,-0.963785565,2.050113451,-0.224496108,-1.896799504,-0.608357041,-0.45305587,-0.114972678,-0.66117058,-0.002617448,
0,-0.815411348,0.894136941,-0.468454805,-0.618246539,1.680926401,-0.644926929,-0.174175707,-1.452545975,0.465257596,
0,-0.768119954,1.628815071,-0.640880453,-0.794389869,-1.241243867,-2.106002627,-0.206429577,0.236013047,0.515776734,
0,0.615401769,1.474987904,-0.505363413,-0.511889223,-1.223824289,0.278181157,-0.23478046,-2.596384982,0.719877801,
0,0.785943891,-0.098537885,-0.202968818,0.389109427,-1.91814181,-1.123547036,-0.503768554,-1.213914043,-0.303490409,
0,0.414846689,0.793672451,-0.393590963,0.848558155,-1.52631578,-0.460909583,-0.261311047,-1.334513543,-0.767465604,
0,0.817825148,0.423210267,0.001538842,1.251434587,-1.374408227,-3.122118301,-0.186150932,-0.696457417,-0.366282591,
0,-0.025163371,-0.230204387,-1.268955924,0.614327067,-1.071757893,-1.305734733,1.201504343,-2.183109167,0.093368787,
0,-0.177417658,-0.145239981,-0.032949285,1.02348465,-1.729545955,1.373164431,-0.200963899,-0.490225193,-0.500849264,
0,-1.139843536,0.008986867,-2.477417187,1.045637162,-1.433381015,2.208700172,-0.333368634,-0.125566875,0.146952223,
0,-1.786759852,-0.843155681,0.328741633,1.058255419,-1.867392378,-1.315678466,1.492894543,0.645613789,-0.107426963,
0,-1.745534425,-0.023051931,-0.983883252,0.488569396,-0.294669261,0.380527204,-0.426596292,-0.056435634,-0.31520833,
0,-0.162518118,0.75735918,-0.323372799,0.783920929,-1.139023319,0.774241927,-0.330648703,0.31797582,-0.352445414,
0,-1.682641753,0.680720063,0.052082379,0.826635788,-1.030086289,-0.592019312,-0.276338322,-0.325307124,-0.148532543,
0,-0.325964268,-0.537192628,-0.617669932,0.998623697,0.798392238,-0.110393301,-0.663418768,-1.212926028,-0.242676969,
0,-0.301523796,-0.17441973,0.978724366,0.988081831,-1.035218128,0.139699347,0.207846618,-1.46065498,-1.476121595,
0,-0.530902783,-1.042902505,1.051550978,0.407209759,-0.490832648,-0.172998485,-0.042010283,0.133309049,-0.506201598,
0,-1.629147831,-0.665605265,0.097396,-0.921783278,-0.497632919,-0.328427202,-0.129575931,-0.511270801,-0.886144001,
1,0.479866173,-0.051451314,-0.749268796,0.108547293,-0.967912476,-1.070808105,-0.25234306,-2.012305785,1.451397064,
0,0.884151022,-0.497512638,-1.999522087,-0.028493291,-0.017720703,0.167450828,-0.257484747,-0.419589094,-1.064526143,
0,-1.499443951,-0.600933289,0.956758385,0.727010891,-1.403825191,-0.552356949,-0.028495779,-0.726711721,-0.14957429,
0,-1.616077217,-1.264173745,-1.235141319,0.845077677,-0.679260413,0.629016732,0.210040828,-0.03703807,-1.026271361,
0,-1.717660425,0.281292138,0.669987238,0.924615192,0.278555661,-0.379139153,-0.103017615,0.7664231,-1.146472817,
0,-1.416763132,-0.13980268,0.0196695,0.656276602,0.107719672,-0.220841756,-0.431199354,-0.620365665,-0.5584467,
0,-0.299033815,-0.922857274,-1.370072241,0.145034644,-0.064498949,0.832882561,-0.176607857,-1.417365394,-0.721527077,
1,-0.224565202,-0.273251311,0.180618136,-1.037432637,0.082025516,-1.106083862,4.092175317,-1.660245056,-1.006547446,
0,-2.092744637,-1.475898491,-0.272031313,-1.352120734,0.10927053,-0.302267384,-0.265842053,-0.813873917,-1.075118577,
0,-0.799019281,-0.388260104,0.397590819,-0.839691475,-0.805649139,-0.240796706,-0.076335078,-0.088476818,-0.374783846,
0,0.971599329,0.684722512,-0.056801006,0.44656786,-0.077371384,-0.766313315,-0.110048949,0.763104975,-0.570170915,
0,-0.075780274,-0.871059262,0.646650854,-0.113796934,-0.569525248,1.529143903,-0.092196284,1.430323191,-1.17846343,
1,0.938594469,-0.247815963,0.200064637,-0.018117701,-1.263022358,-0.837273933,-0.098701644,-0.219113374,-0.058688726,
0,-1.233758254,-0.293045089,-0.0717291,-0.101365103,-0.646923879,1.563243435,-0.139688346,0.249928402,-0.243707883,
0,-1.343165673,-0.638795555,-1.071735009,0.188158399,-2.234693191,-0.935159343,-0.140951218,-1.391882002,1.028729182,
1,-0.745781139,-0.233390033,0.334547486,-0.156529751,-0.507438553,0.143356578,-0.345797174,-0.290075918,-1.065299227,
1,1.479030226,0.046417681,0.928620589,-0.457412807,0.110272368,-0.245137537,-0.288279656,0.518372367,0.372422904,
0,0.025425068,0.338676829,-0.918343287,0.350170685,-0.91928355,0.36443387,-0.275786313,0.988735593,0.360010277,
0,0.595847191,0.458380507,-0.660692697,-2.823895227,1.545164322,-0.391990402,-0.082045903,2.119211132,0.160895501,
0,0.652105715,0.169891262,0.366381645,-1.297162829,0.260522105,0.807885366,-0.083896471,0.342444163,-0.246948035,
1,0.678430551,0.29823676,-0.651240083,-1.301805747,0.463105965,-0.385178184,-0.138234869,1.615072523,-0.516827474,
1,-1.168364981,0.600615492,-0.295122027,-0.513592451,-1.439231177,0.209253034,-0.125395188,-1.979351418,0.664832499,
0,-0.027158239,0.649170142,0.184793173,-1.350545927,2.076636167,1.899864833,-0.034387536,0.117015684,-0.21812844,
1,-0.799768641,-0.341305116,-0.738544321,-1.298355038,0.861504282,-1.078655924,-0.217096699,0.166305483,-0.18634878,
1,0.780904311,0.07122379,0.319421429,-0.549780304,1.593967848,0.585136872,-0.048261188,2.984367398,0.385531583,
0,0.852018968,0.233081809,0.718859612,-0.721975288,-0.211672557,-0.391602073,-0.311958821,0.200217258,0.151606182,
0,0.449790598,0.734710875,-1.172714105,-0.742692777,1.228198238,-1.296378275,-0.305681445,0.728225984,-0.387250179,
0,1.3446944,1.089561697,-0.230371778,-0.117279867,0.626824279,0.545661634,1.084551931,-0.349912634,1.20654974,
0,-0.349353675,1.463682749,-1.057505669,0.012664663,0.507888692,0.146245748,-0.373139069,-0.784984027,-0.623812817,
0,1.749162709,-0.212481234,-0.159326442,0.98658572,0.386611201,-1.045565303,0.008960325,1.850720435,0.158855193,
0,0.729162928,0.153816469,0.621211903,-1.148613502,0.007801903,0.375947142,-0.398139871,-0.169267604,-0.842148101,
1,0.843426435,-0.116813533,0.264224711,-1.557223386,-0.497903119,-1.51891555,-0.059231483,0.827908811,0.198743979,
1,1.622768521,-0.893122481,-0.072231188,-0.945722514,1.026681713,0.793584836,-0.123605135,1.656140142,-0.057785166,
